,longitude,v_obs,R,R1
0,40,3.76,9.785276428531898,1.606483725347231
1,40,-47.82,15.178020328879025,7.649142757893249
2,50,-0.24,10.059780484480209,2.204495650312074
3,50,-52.48,14.588207370708842,7.590720427985748
4,60,-1.71,10.136430758694857,2.718481077380865
5,60,-63.41,15.056502195686022,8.884335094274775
6,70,-8.75,10.489421977274732,3.8920653498812925
7,70,-78.22,16.159694087976177,11.140510352343355
8,80,-13.59,10.717731443581794,5.217149039488416
9,120,80.82,7.053426409465307,
10,150,-49.801,18.355786640974106,25.218214650008406
11,60,-68.694,15.70952296283153,9.628098274609929
12,60,1.014,9.992274464139898,2.5070739944670057
13,70,-77.96,16.12706658994677,11.1029651582595
14,70,-3.903,10.238756964233206,3.49859092725056
15,80,-82.48100000000001,16.22058853962636,12.417733565257777
16,80,-5.647,10.314287738727987,4.550028627063842
17,90,-11.505999999999998,10.599825414640229,6.332953404285625
18,100,-75.006,15.364623560126317,14.360118374133764
19,100,-16.915,10.896143250569581,8.451290279503006
20,110,-62.89,14.437474834715124,14.93390494340567
21,110,-15.34,10.850592532069067,10.251352778477592
22,170,-27.186999999999998,34.83809365451611,43.177677955239375
23,160,-38.484,20.561905430816356,28.342738181381133
24,40,28.11,8.379737972198333,0.15779225115697226
25,50,-1.3619999999999999,10.127299918388577,2.292861461906228
26,60,-3.4360000000000004,10.229944671460808,2.8538206608239616
27,70,-9.587,10.53395584536538,3.960570058486087
28,80,-16.508,10.873986184246158,5.464608589776181
29,90,-22.646,11.19815154493955,7.290308499880648
30,100,-24.475,11.324771012314637,9.103528278121624
31,110,-24.134,11.373160763604906,11.003493237995972
32,120,-26.894000000000002,11.696495499544882,13.339582332036695
33,130,-28.131,12.05821197025483,15.6127062352593
34,40,-59.01,17.23912832818099,9.839022410050426
35,50,-58.833999999999996,15.433212272061276,8.528660395216047
36,60,-78.45,17.07701170522247,11.158985326111036
37,70,-81.6,16.596189961492488,11.64051470528237
38,80,-87.771,16.886343110149653,13.189500631241367
39,90,-94.62100000000001,17.626556281354937,15.441680165700014
40,100,-83.28200000000001,16.31800276776998,15.483358238713425
41,110,-70.14,15.20378182180983,15.843810124008806
42,120,-68.313,15.660548235219476,18.072636182278536
43,130,-75.953,18.287072257897044,22.552257271018398
